date,value
2021-05-10,301741.9897530014
2021-05-11,319144.2991511814
2021-05-12,292361.3978741301
2021-05-13,284309.092299457
2021-05-14,311616.5787260075
2021-05-15,278862.12434044504
2021-05-16,273923.68280186586
2021-05-17,251013.9940353292
2021-05-18,258092.07004664678
2021-05-19,186504.54997323544
2021-05-20,211716.7546073258
2021-05-21,185897.3770742525
2021-05-22,175489.026535138
2021-05-23,160311.23346333255
2021-05-24,202525.8086717137
2021-05-25,206860.13611684635
2021-05-26,220611.7611072876
2021-05-27,209698.70765466083
2021-05-28,184453.62086105373
2021-05-29,174255.56320256938
2021-05-30,182456.2208457597
2021-05-31,206939.66506079375
2021-06-01,201465.93255333792
2021-06-02,206945.0179704825
2021-06-03,218494.30297468835
2021-06-04,205667.20195763555
2021-06-05,200942.87680660698
2021-06-06,207380.89775942496
2021-06-07,198214.4222681043
2021-06-08,191728.22512808748
2021-06-09,199600.82587749482
2021-06-10,188964.59432591574
2021-06-11,180011.47052076162
2021-06-12,181290.81593637684
2021-06-13,191888.81241875046
2021-06-14,197351.8391068288
2021-06-15,194504.85585378908
2021-06-16,181072.8760419056
2021-06-17,181485.05008794065
2021-06-18,170841.17152252045
2021-06-19,165532.61451403226
2021-06-20,171558.46142081515
2021-06-21,144183.6812724631
2021-06-22,143708.8017129311
2021-06-23,150503.93821212815
2021-06-24,152138.86977135428
2021-06-25,138320.7157604955
2021-06-26,139912.82404221152
2021-06-27,151585.225969259
2021-06-28,159395.12120516936
2021-06-29,165583.08480538346
2021-06-30,174021.56457903187
2021-07-01,161077.46425021027
2021-07-02,164726.61925518085
2021-07-03,170298.2335398027
2021-07-04,177616.42578573068
2021-07-05,167968.95312380517
2021-07-06,177601.89645943258
2021-07-07,177148.42853865566
2021-07-08,161836.0480232469
2021-07-09,164180.62246692664
2021-07-10,161404.75644260916
2021-07-11,163680.50776171903
2021-07-12,155355.20379291885
2021-07-13,148363.53903800566
2021-07-14,152525.8086717137
2021-07-15,146785.1953812036
2021-07-16,143477.86189493
2021-07-17,145261.9102240575
2021-07-18,144653.97262369044
2021-07-19,139078.53483214806
2021-07-20,136577.96130610997
2021-07-21,152596.16119905174
2021-07-22,154818.383421274
2021-07-23,162441.69151946163
2021-07-24,167068.13489332414
2021-07-25,167453.5443909153
2021-07-26,170381.58599067063
2021-07-27,175842.3185745966
2021-07-28,175950.14146975605
2021-07-29,182222.22222222222
2021-07-30,188254.9514414621
2021-07-31,193549.7438250363
2021-08-01,195433.96803548213
2021-08-02,199352.29792765924
2021-08-03,191866.63607861128
2021-08-04,208364.30373938978
2021-08-05,216180.316586373
2021-08-06,221119.5228263363
2021-08-07,241669.34312151102
2021-08-08,230316.5863730213
2021-08-09,241685.40185057733
2021-08-10,240243.1750401468
2021-08-11,241683.87244780912
2021-08-12,232924.98279421884
2021-08-13,254058.27024546912
2021-08-14,249534.29685707728
2021-08-15,252893.63003747034
2021-08-16,240615.58461420817
2021-08-17,230306.6452550279
2021-08-18,230523.05574673088
2021-08-19,243490.09711707578
2021-08-20,251190.6400550585
2021-08-21,246496.13825801024
2021-08-22,247610.30817465778
2021-08-23,253978.74130152175
2021-08-24,242457.75024852794
2021-08-25,246759.1955341439
2021-08-26,236537.43213275212
2021-08-27,250321.17458132596
2021-08-28,248105.83467156076
2021-08-29,246499.19706354666
2021-08-30,246971.01781754222
2021-08-31,262231.3986388315
2021-09-01,292637.4550737937
2021-09-02,289502.1793989447
2021-09-03,301147.81677754835
2021-09-04,297126.25219851645
2021-09-05,302079.2230633937
2021-09-06,300280.64540796814
2021-09-07,262642.0432820983
2021-09-08,267569.01429991587
2021-09-09,261904.87114781674
2021-09-10,245381.9683413627
2021-09-11,249844.00091764165
2021-09-12,260320.40987994187
2021-09-13,251231.1692284163
2021-09-14,262626.7492544161
2021-09-15,276328.66865489027
2021-09-16,272843.92444750323
2021-09-17,259983.94127093366
2021-09-18,262723.866330198
2021-09-19,254540.0321174581
2021-09-20,227673.01368815478
2021-09-21,211508.75583084804
2021-09-22,235292.49827942188
2021-09-23,241072.11134052151
2021-09-24,223945.09444062095
2021-09-25,223425.09749942645
2021-09-26,233950.44735030967
2021-09-27,223720.27223369273
2021-09-28,214491.8559302592
2021-09-29,217974.3060334939
2021-09-30,229457.06201728224
2021-10-01,253109.27582778924
2021-10-02,259062.47610308175
2021-10-03,261354.28615125793
2021-10-04,258951.59440238582
2021-10-05,268813.183451862
2021-10-06,273372.3331039229
2021-10-07,274334.32744513266
2021-10-08,272473.04427621013
2021-10-09,273366.9801942342
2021-10-10,261085.87596543547
2021-10-11,270866.406668196
2021-10-12,266992.4294562973
2021-10-13,275859.9067064311
2021-10-14,289884.53009099944
2021-10-15,295862.2008105834
2021-10-16,292877.57130840403
2021-10-17,294169.151946165
2021-10-18,286377.6095434732
2021-10-19,296477.0207234075
2021-10-20,318203.7164487267
2021-10-21,309932.70627819834
2021-10-22,303754.6837959776
2021-10-23,318660.2431750401
2021-10-24,312176.3401391756
2021-10-25,322732.2780454232
2021-10-26,315937.9062476103
2021-10-27,299915.88284774794
2021-10-28,327752.54263210215
2021-10-29,337913.1299227652
2021-10-30,330555.9379062476
2021-10-31,327843.5420968112
2021-11-01,330307.40995641204
2021-11-02,350989.5235910377
2021-11-03,352018.8116540491
2021-11-04,346587.1377227192
2021-11-05,342145.7520838112
2021-11-06,345492.08534067444
2021-11-07,352725.39573296625
2021-11-08,367666.89607708185
2021-11-09,361881.93010629347
2021-11-10,353963.44727383956
2021-11-11,360862.5831612755
2021-11-12,356768.3719507532
2021-11-13,355148.73441920924
2021-11-14,353789.0953582626
2021-11-15,348992.88827712776
2021-11-16,321920.92987688305
2021-11-17,327888.65947847365
2021-11-18,305643.49621472816
2021-11-19,328420.89164181385
2021-11-20,337399.25059264357
2021-11-21,325633.5550967347
2021-11-22,312454.6914429915
